Player_id,player_name,base_price,set_number,accelerated_list,is_overseas,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match,value_score,consistency_score,batting_specialist,bowling_specialist,all_rounder,cat_AR,cat_BAT,cat_BOWL,cat_WK
116,Mitchell Owen,1.0,6,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
117,Ben Duckett,1.0,6,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
118,Jacob Bethell,1.0,6,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
119,Aniket Verma,1.0,6,0,False,633.0,45.214285714285715,42.9062996476106,141.0,3.0,433.0,30.928571428571427,0.0,0.0,70.0,5.0,236.0,16.857142857142858,74.0,0.0,0.0,0.0,6.0,0.42857142857142855,14.0,45.214285714285715,41.103896103896105,1.0297903963024198,1,0,0,False,True,False,False
120,Sameer Rizvi,1.0,6,0,True,515.0,36.785714285714285,53.874753001652,206.0,-5.0,285.0,20.357142857142858,0.0,0.0,30.0,2.142857142857143,172.0,12.285714285714286,58.0,0.0,0.0,0.0,3.0,0.21428571428571427,14.0,36.785714285714285,33.441558441558435,0.6703577195984254,1,0,0,False,True,False,False
121,Will Jacks,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
122,Harshal Patel,1.0,7,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
123,Ayush Badoni,1.0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
124,Romario Shepherd,1.0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
125,Rachin Ravindra,1.0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,False,False
